system:time_start,0,1
"Oct 28, 2020",0.139,0.147
"Nov 7, 2020",0.18,0.221
"Nov 7, 2020",0.18,0.221
"Nov 12, 2020",0.286,0.275
"Nov 12, 2020",0.286,0.275
"Nov 15, 2020",0.164,0.151
"Nov 25, 2020",0.141,0.112
"Dec 27, 2020",0.105,
"Jan 6, 2021",0.07,
"Jan 14, 2021",0.026,0.023
"Jan 16, 2021",0.038,0.041
"Jan 19, 2021",0.051,0.049
"Jan 19, 2021",0.051,0.049
"Feb 15, 2021",0.238,0.247
"Mar 7, 2021",0.234,0.31
"Mar 15, 2021",0.263,0.279
"Mar 27, 2021",0.143,0.135
"Mar 30, 2021",0.25,0.259
"Apr 1, 2021",0.316,0.346
"Apr 1, 2021",0.316,0.346
"Apr 6, 2021",0.337,0.444
"Apr 6, 2021",0.337,0.444
"Apr 9, 2021",0.31,0.322
"Apr 9, 2021",0.31,0.322
"Apr 11, 2021",0.392,0.435
"Apr 14, 2021",0.282,
"Apr 24, 2021",0.6,0.66
"May 1, 2021",0.411,0.528
"May 1, 2021",0.411,0.528
"May 4, 2021",0.704,0.76
"May 4, 2021",0.704,0.76
"May 9, 2021",0.739,0.798
"May 26, 2021",0.776,0.791
"May 26, 2021",0.776,0.791
"Jun 5, 2021",0.719,0.737
"Jun 8, 2021",0.747,0.698
"Jun 8, 2021",0.747,0.698
"Jun 10, 2021",0.752,0.761
"Jun 10, 2021",0.752,0.761
"Jun 13, 2021",0.522,0.647
"Jun 13, 2021",0.522,0.647
"Jun 23, 2021",0.492,0.534
"Jun 25, 2021",0.409,0.451
"Jun 28, 2021",0.219,
"Jun 28, 2021",0.218,
"Jun 30, 2021",,
"Jul 3, 2021",0.206,0.2
"Jul 8, 2021",0.186,0.179
"Jul 8, 2021",0.186,0.179
"Jul 10, 2021",0.172,0.174
"Jul 10, 2021",0.172,0.174
"Jul 13, 2021",,
"Jul 15, 2021",0.176,0.179
"Jul 15, 2021",0.176,0.179
"Jul 18, 2021",0.163,0.102
"Jul 18, 2021",0.163,0.102
"Jul 20, 2021",0.176,0.172
"Jul 20, 2021",0.176,0.172
"Jul 23, 2021",0.177,0.19
"Jul 23, 2021",0.177,0.19
"Jul 25, 2021",0.168,0.198
"Jul 25, 2021",0.168,0.198
"Jul 28, 2021",0.137,0.196
"Jul 28, 2021",0.137,0.196
"Aug 2, 2021",0.12,0.131
"Aug 2, 2021",0.12,0.131
"Aug 4, 2021",0.07,0.082
"Aug 4, 2021",0.07,0.082
"Aug 9, 2021",0.128,0.137
"Aug 12, 2021",,
"Aug 17, 2021",0.139,0.138
"Aug 17, 2021",0.139,0.138
"Aug 19, 2021",0.14,0.153
"Aug 19, 2021",0.14,0.153
"Aug 24, 2021",0.116,0.128
"Aug 24, 2021",0.116,0.128
"Aug 29, 2021",,
"Sep 1, 2021",0.018,-0.031
"Sep 3, 2021",0.108,0.126
"Sep 3, 2021",0.108,0.126
"Sep 6, 2021",0.121,0.125
"Sep 6, 2021",0.121,0.125
"Sep 8, 2021",0.117,0.122
"Sep 8, 2021",0.117,0.122
"Sep 13, 2021",0.095,0.101
"Sep 13, 2021",0.095,0.101
"Sep 28, 2021",,
"Oct 1, 2021",0.104,0.108
"Oct 1, 2021",0.104,0.108
"Oct 3, 2021",0.104,0.11
"Oct 3, 2021",0.104,0.11
"Oct 6, 2021",0.075,
"Oct 6, 2021",0.075,
"Oct 8, 2021",,
"Oct 11, 2021",,
"Oct 18, 2021",0.106,0.11
"Oct 18, 2021",0.106,0.11
"Oct 26, 2021",0.105,0.107
"Oct 26, 2021",0.105,0.107
"Oct 28, 2021",0.09,0.095
"Oct 28, 2021",0.09,0.095
"Oct 31, 2021",0.094,0.098
"Oct 31, 2021",0.094,0.098
"Nov 5, 2021",0.046,0.055
"Nov 5, 2021",0.046,0.055
"Nov 10, 2021",0.078,0.081
"Nov 10, 2021",0.078,0.081
"Nov 12, 2021",0.007,0.016
"Nov 12, 2021",0.007,0.016
"Nov 15, 2021",0.073,0.058
"Nov 15, 2021",0.073,0.058
"Nov 17, 2021",0.107,0.115
"Nov 17, 2021",0.107,0.115
"Nov 25, 2021",0.091,0.102
"Nov 25, 2021",0.091,0.102
"Jan 4, 2022",0.016,
"Jan 6, 2022",0.07,0.095
"Jan 31, 2022",0.014,0.019
"Feb 13, 2022",0.062,0.071
"Feb 13, 2022",0.062,0.071
"Feb 15, 2022",0.048,0.057
"Feb 15, 2022",0.048,0.057
"Feb 23, 2022",0.055,0.061
"Feb 23, 2022",0.055,0.061
"Feb 28, 2022",0.036,0.054
"Feb 28, 2022",0.036,0.054
"Mar 15, 2022",0.064,0.07
"Mar 15, 2022",0.064,0.07
"Mar 17, 2022",0.028,0.078
"Mar 22, 2022",0.07,0.076
"Mar 22, 2022",0.07,0.076
"Apr 6, 2022",0.079,0.086
"Apr 6, 2022",0.079,0.086
"Apr 26, 2022",0.098,0.105
"Apr 26, 2022",0.098,0.105
"May 6, 2022",0.136,0.143
"May 6, 2022",0.136,0.143
"May 9, 2022",0.128,0.137
"May 9, 2022",0.128,0.137
"May 16, 2022",0.132,0.186
"May 16, 2022",0.132,0.186
"May 31, 2022",0.261,0.319
"May 31, 2022",0.261,0.319
"Jun 3, 2022",0.264,0.331
"Jun 3, 2022",0.264,0.331
"Jun 5, 2022",0.18,0.216
"Jun 13, 2022",0.28,0.367
"Jun 13, 2022",0.28,0.367
"Jun 15, 2022",0.289,0.369
"Jun 15, 2022",0.289,0.369
"Jun 20, 2022",0.263,0.345
"Jun 20, 2022",0.263,0.345
"Jul 3, 2022",0.265,0.358
"Jul 3, 2022",0.265,0.358
"Jul 5, 2022",0.246,0.288
"Jul 5, 2022",0.246,0.288
"Jul 8, 2022",0.236,0.312
"Jul 8, 2022",0.236,0.312
"Jul 13, 2022",0.208,0.251
"Jul 15, 2022",0.183,0.056
"Jul 15, 2022",0.183,0.056
"Jul 18, 2022",0.214,0.24
"Jul 18, 2022",0.214,0.24
"Jul 20, 2022",0.115,0.238
"Jul 20, 2022",0.115,0.238
"Jul 23, 2022",0.091,0.218
"Jul 23, 2022",0.091,0.218
"Jul 28, 2022",0.185,0.169
"Jul 28, 2022",0.185,0.169
"Jul 30, 2022",0.221,0.206
"Aug 2, 2022",0.213,0.198
"Aug 2, 2022",0.213,0.198
"Aug 7, 2022",0.213,0.197
"Aug 7, 2022",0.213,0.197
"Aug 9, 2022",0.211,0.197
"Aug 9, 2022",0.211,0.197
"Aug 12, 2022",0.195,0.181
"Aug 19, 2022",0.19,0.187
"Aug 19, 2022",0.19,0.187
"Aug 22, 2022",0.157,0.143
"Aug 22, 2022",0.157,0.143
"Aug 24, 2022",0.181,0.167
"Aug 24, 2022",0.181,0.167
"Aug 29, 2022",0.192,0.182
"Aug 29, 2022",0.192,0.182
